Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position,Goals per Game,Assists per Game,Shots per Game,Prop SoG,Shots per Goal
Christina Burkenroad,ORL,7.0,2.0,252.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.0,0.0,0.0
Josee Belanger,ORL,14.0,14.0,1082.0,0.0,0.0,3.0,1.0,12.0,1.0,0.0,0.0,0.0,2.0,0.0,2016.0,,0.0,0.0,0.21428571428571427,0.3333333333333333,0.0
Julie Ertz,CHI,12.0,12.0,1080.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2016.0,Midfielder,0.0,0.0,0.08333333333333333,0.0,0.0
Lisa De Vanna,ORL,3.0,2.0,153.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.6666666666666666,0.5,0.0
Mary Luba,CHI,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.0,0.0,0.0
Becky Edwards,ORL,16.0,10.0,806.0,0.0,0.0,4.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.0,0.0,0.25,0.25,0.0
Maddy Evans,ORL,16.0,12.0,1111.0,0.0,1.0,9.0,6.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,2016.0,,0.0,0.0625,0.5625,0.6666666666666666,0.0
Jamia Fields,ORL,12.0,6.0,627.0,0.0,1.0,3.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.08333333333333333,0.25,0.3333333333333333,0.0
Leah Lynn Gabriela Fortune,ORL,3.0,0.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
Alyssa Mautz,CHI,18.0,10.0,1037.0,0.0,2.0,12.0,6.0,19.0,5.0,1.0,0.0,0.0,4.0,0.0,2016.0,,0.0,0.1111111111111111,0.6666666666666666,0.5,0.0
Monica,ORL,16.0,15.0,1377.0,0.0,0.0,5.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.3125,0.6,0.0
Kaylyn Kyle,ORL,18.0,16.0,1441.0,0.0,0.0,5.0,1.0,18.0,6.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.0,0.0,0.2777777777777778,0.2,0.0
Sierra Lelii,ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.0,0.0,0.0
Camille Levin,ORL,10.0,9.0,836.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.1,0.1,0.0,0.0
Toni Pressley,ORL,14.0,11.0,1028.0,0.0,0.0,8.0,1.0,12.0,1.0,4.0,0.0,0.0,3.0,0.0,2016.0,,0.0,0.0,0.5714285714285714,0.125,0.0
